Position,0,1,2,3,4,5,6,7,8,9
0,9.86,9.93,10.20,9.36,10.33,9.85,9.67,10.05,10.69,10.06
1,10.71,9.94,10.16,10.11,9.54,9.64,9.86,10.32,10.11,9.60
2,10.49,10.03,10.07,9.65,9.67,10.30,10.04,10.24,9.98,9.53
3,10.13,9.82,9.73,9.96,10.01,9.91,10.39,10.06,10.17,9.82
4,10.33,9.33,9.62,9.91,9.75,10.44,9.85,10.22,10.07,10.49
5,8.78,9.63,9.23,10.09,10.85,12.02,12.13,9.06,8.69,9.51
6,0.00,8.22,31.33,20.45,7.23,12.77,0.00,8.10,11.90,0.00
7,20.00,40.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00
8,0.00,0.00,0.00,0.00,0.00,60.00,40.00,0.00,0.00,0.00
9,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
