Position,0,1,2,3,4,5,6,7,8,9
0,11.12,9.29,10.88,8.76,10.36,9.00,10.83,9.43,10.89,9.43
1,9.51,9.98,9.95,10.10,10.50,9.60,10.15,10.15,10.30,9.75
2,10.49,9.87,9.79,10.49,9.99,9.53,9.95,9.70,10.07,10.11
3,9.99,9.74,9.90,10.46,10.07,10.10,9.81,10.26,10.12,9.54
4,9.97,9.96,9.93,10.60,9.85,9.82,10.13,10.24,9.76,9.73
5,10.19,9.95,10.47,9.80,9.58,9.89,9.87,9.95,9.73,10.56
6,9.82,10.31,10.27,9.95,9.33,10.31,10.04,9.88,10.23,9.84
7,9.64,9.57,9.98,10.68,10.21,9.52,10.11,9.96,10.17,9.86
8,7.38,10.22,10.87,10.30,9.80,9.90,9.70,10.42,9.99,8.57
9,0.00,24.82,22.42,21.90,5.39,0.00,0.00,0.00,0.00,0.00
